Index,Último,,,,,,,,,,,,,,,
1,19.48,,,,,,,,,,,,,,,
2,19.67,,,,,,,,,,,,,,,
3,19.93,,,,,,,,,,,,,,,
4,19.77,,,,,,,,,,,,,,,
5,20.34,,,,,,,,,,,,,,,
6,20.33,,,,,,,,,,,,,,,
7,21.4,,,,,,,,,,,,,,,
8,21.47,,,,,,,,,,,,,,,
9,21.43,,,,,,,,,,,,,,,
10,22.1,,,,,,,,,,,,,,,
11,22.53,,,,,,,,,,,,,,,
12,21.72,,,,,,,,,,,,,,,
13,21.4,,,,,,,,,,,,,,,
14,20.6,,,,,,,,,,,,,,,
15,20.7,,,,,,,,,,,,,,,
16,21.37,,,,,,,,,,,,,,,
17,21.44,,,,,,,,,,,,,,,
18,21.6,,,,,,,,,,,,,,,
19,21.47,,,,,,,,,,,,,,,
20,20.95,,,,,,,,,,,,,,,
21,21.65,,,,,,,,,,,,,,,
22,21,,,,,,,,,,,,,,,
23,21.47,,,,,,,,,,,,,,,
24,20.84,,,,,,,,,,,,,,,
25,21.66,,,,,,,,,,,,,,,
26,21.55,,,,,,,,,,,,,,,
27,21.71,,,,,,,,,,,,,,,
28,22.06,,,,,,,,,,,,,,,
29,21.98,,,,,,,,,,,,,,,
30,22.51,,,,,,,,,,,,,,,
31,22.23,,,,,,,,,,,,,,,
32,22.65,,,,,,,,,,,,,,,
33,22.14,,,,,,,,,,,,,,,
34,22.51,,,,,,,,,,,,,,,
35,22.16,,,,,,,,,,,,,,,
36,22.9,,,,,,,,,,,,,,,
37,23.34,,,,,,,,,,,,,,,
38,12.84,,,,,,,,,,,,,,,
39,12.85,,,,,,,,,,,,,,,
40,12.85,,,,,,,,,,,,,,,
41,13.2,,,,,,,,,,,,,,,
42,13.02,,,,,,,,,,,,,,,
43,12.75,,,,,,,,,,,,,,,
44,12.84,,,,,,,,,,,,,,,
45,13.11,,,,,,,,,,,,,,,
46,12.88,,,,,,,,,,,,,,,
47,13.09,,,,,,,,,,,,,,,
48,12.89,,,,,,,,,,,,,,,
49,12.54,,,,,,,,,,,,,,,
50,12.32,,,,,,,,,,,,,,,
51,12.31,,,,,,,,,,,,,,,
52,13.1,,,,,,,,,,,,,,,
53,13.12,,,,,,,,,,,,,,,
54,12.88,,,,,,,,,,,,,,,
55,13.25,,,,,,,,,,,,,,,
56,13.04,,,,,,,,,,,,,,,
57,13.27,,,,,,,,,,,,,,,
58,12.91,,,,,,,,,,,,,,,
59,12.81,,,,,,,,,,,,,,,
60,12.77,,,,,,,,,,,,,,,
61,13.01,,,,,,,,,,,,,,,
62,12.93,,,,,,,,,,,,,,,
63,12.84,,,,,,,,,,,,,,,
64,12.75,,,,,,,,,,,,,,,
