Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,,,,,,,,,,
25/05/2020,19.48,19.48,19.56,19.26,"37,58M",4.34%,,,,,,,,,,
26/05/2020,19.67,19.98,20.09,19.33,"68,29M",0.98%,,,,,,,,,,
27/05/2020,19.93,19.8,19.93,19.15,"74,31M",1.32%,,,,,,,,,,
28/05/2020,19.77,19.69,20.08,19.45,"64,40M",-0.80%,,,,,,,,,,
29/05/2020,20.34,19.55,20.34,19.3,"127,22M",2.88%,,,,,,,,,,
01/06/2020,20.33,20.15,20.56,20,"86,10M",-0.05%,,,,,,,,,,
02/06/2020,21.4,20.75,21.4,20.6,"76,09M",5.26%,,,,,,,,,,
03/06/2020,21.47,21.86,21.91,21.41,"85,62M",0.33%,,,,,,,,,,
04/06/2020,21.43,21.39,21.78,21.04,"106,93M",-0.19%,,,,,,,,,,
05/06/2020,22.1,22.29,23.03,22.06,"113,41M",3.13%,,,,,,,,,,
08/06/2020,22.53,22.55,22.59,22.01,"81,48M",1.95%,,,,,,,,,,
09/06/2020,21.72,22.03,22.04,21.64,"95,48M",-3.60%,,,,,,,,,,
10/06/2020,21.4,21.89,21.9,21,"102,04M",-1.47%,,,,,,,,,,
12/06/2020,20.6,20.62,21.17,20.1,"116,29M",-3.74%,,,,,,,,,,
15/06/2020,20.7,19.81,21.09,19.54,"99,37M",0.49%,,,,,,,,,,
16/06/2020,21.37,21.56,21.91,21.17,"94,17M",3.24%,,,,,,,,,,
17/06/2020,21.44,21.48,21.85,21.15,"62,47M",0.33%,,,,,,,,,,
18/06/2020,21.6,21.18,21.77,21.08,"56,62M",0.75%,,,,,,,,,,
19/06/2020,21.47,22,22.22,21.22,"90,35M",-0.60%,,,,,,,,,,
22/06/2020,20.95,21.6,21.6,20.9,"44,56M",-2.42%,,,,,,,,,,
23/06/2020,21.65,21.22,22.07,21.14,"78,52M",3.34%,,,,,,,,,,
24/06/2020,21,21.49,21.56,20.71,"64,93M",-3.00%,,,,,,,,,,
